likes_per_minute,video_id,video_title,upload_date,upload_time,view_count,like_count,comment_count,video_duration,tags,day,duration,minutes,interaction_score,Sort_order
404,KSHkA-MTW3w,Tour Down Under 2016 Stage 6 Race Report,24/01/2016,17:21.0,36217,1619,62,04:03:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'ja16', 'sec-race-report', 'cjb', 'pjb', 'tour down under', 'down under tour', 'tour of australia', 'worldtour', 'pro cycling', 'race report', 'gcn race report', 'pro road racing', '2016 tour down under', 'tdu', 'simon gerrans', 'orica-greenedge', 'caleb ewan', 'stage 6 crash', 'adelaide', 'sprint', 'richie porte', 'sergio henao', 'uci world tour']",Sunday,4-6,4,6.07,5
403,rBeCAKC_K4M,4 Tips To Overcome Your Cycling Plateau,05/04/2023,00:29.0,52746,1614,79,04:58:00,"['plateau', 'cycling plateau', 'fitness plateau', 'progress', 'cycling progression', 'improving', 'recovery', 'break', 'cycling break', 'cycling recovery', 'cycling tips', 'tips', 'intense training', 'cycle intenisity', 'cycle faster', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Road Cycling', 'Cyclist', 'GCN Cycling', 'how to', 'bike skills', 'cycling skills', 'sec-how-to', 'sca15', '?', '?', 'r1', '?', 'n1', '?', '?', '?', '?', '?', '?', '?', '?17', '?', '?', '?', '5021', 'getting fitter', 'how to improve', 'reduce stress', 'rest', 'energy']",NULL,4-6,4,4.36,5
403,JtFHZxwcH1A,5 Ways To Make You A Better Cyclist,17/02/2016,00:01.0,116872,1612,136,04:57:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'better cyclist', 'cycling tips', 'cycling advice', 'pro cyclin', 'like a pro', 'become a better cyclist', 'get better at cycling', 'improve', 'training', 'skills', 'cycling skills', 'f16', 'sec-top-10', 'chgc', 'cms', 'cdl', 'pms', 'pdl', 'gc11shs', 'gc04s1', 'sri15', 'ssc15', 'gc18s', 'gc11sas', 'gc24s']",Wednesday,4-6,4,2.48,5
398,NRpV7ENi6Sk,How To Train On Your Commute | HIIT Hill Reps,21/04/2018,00:03.0,65207,1991,167,05:02:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'hills', 'hill reps', 'intervals', 'cycling intervals', 'efforts', 'HIIT', 'high intensity', 'cycling workout', 'commuter workout', 'hill intervals', 'commuter training', 'sportive training', 'maratona', 'maratona dles dolomites', 'short climb', 'GCN Cycling', 'Cycling Tips', 'cycling training', 'velo', 'emma pooley', 'commuter session', 'sec-how-to', 'plts', 'sca15', 'gc11shs', 'gc04s1', 'c3', 'r1', 'gc11sas', 'p1', '?', '?', '?', '?', '?', '?']",Saturday,4-6,5,5.37,5
398,MUkEEtVSWnI,Top 10 Cycling Friendly Cities 2017,03/08/2017,00:02.0,91544,1594,522,04:51:00,"['cycling city', 'cycling friendly', 'cyclist city', 'cyclist friendly', 'best cycling city', 'city cycling', 'bike path', 'bike lane', 'cycle highway', 'copenhagenize', 'amsterdam', 'copenhagen', 'au17', 'sec-feature', 'plco', '?', '?', '?']",Thursday,4-6,4,7.32,5
398,MUkEEtVSWnI,Top 10 Cycling Friendly Cities 2017,03/08/2017,00:02.0,91544,1594,522,04:51:00,"['cycling city', 'cycling friendly', 'cyclist city', 'cyclist friendly', 'best cycling city', 'city cycling', 'bike path', 'bike lane', 'cycle highway', 'copenhagenize', 'amsterdam', 'copenhagen', 'au17', 'sec-feature', 'plco', '?', '?', '?']",Thursday,4-6,4,7.32,5
395,V365kwjUc5Q,"5 Ways To Balance Cycling Training, Work & Life With Former National Champion Matt Stephens",21/07/2016,18:26.0,80537,1580,121,04:32:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'bicicletas', 'bici ciclismo', 'velo route', 'fahrrad', 'fiets', 'work', 'life', 'work life', 'cycling', 'balance work and training', 'study', 'study and training', 'national champion', 'cycling advice', 'gcn cycling', 'matt stephens', 'matt stephens gcn', 'jul16', 'sec-top-10', 'plc101', 'gc11shs', 'gc04s1', 'gc18s', 'gc11sas', 'gc24s', 'gc21s', 'b1', 'c1']",Thursday,4-6,4,3.35,5
393,JJrt9yR7_e0,Top 6 Longest Bike Races,28/04/2016,00:02.0,154291,1573,82,04:31:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Road Bike', 'Cyclist', 'GCN Cycling', 'Cycling Tips', 'Bikes', 'Bicycle (Product Category)', 'cycling workout', 'cycling training', 'velo', 'bicicletas', 'bici ciclismo', 'velo route', 'fahrrad', 'fiets', 'ap16', 'sec-top-10', 'plcbr101', 'race across america', 'raam', 'tour de france', 'tour of france', 'le tour', 'transcontinental', 'red bull', 'vladivostok', 'paris-brest-paris', 'warnie', 'melbourne-warrnambool', 'long', 'long bike rides', '100 miles', 'century ride', 'ultra endurance']",Thursday,4-6,4,1.49,5
393,LqinrJEs1HM,5 Nutrition Tips For Cyclists | Eat Better & Ride Faster With GCN,21/11/2019,42:33.0,80514,1968,105,05:15:00,"['cycling nutrition', 'sports nutrition', 'nutrition', 'fuel', 'fuelling', 'food', 'eat', 'eating', 'real food', 'natural', 'sports', 'energy', 'energy bar', 'energy gel', 'gel', 'bar', 'workout', 'fitness', 'weight loss', 'fat', 'weight', 'food diary', 'diet', 'dietary', 'vegan', 'vegetarian', 'calories', 'carbohydrates', 'carbs', 'GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'GCN Cycling', 'velo', 'chris opie', 'sec-top-10', 'sca15', '?', 'gc11shs', '?', 'c3', 'gc11sas', 'p1', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?19', '3790']",Thursday,4-6,5,3.6,5
392,B5qMpNpVbKw,Should You Train Like A Professional Cyclist?,06/09/2018,59:04.0,59872,1568,107,04:51:00,"['GCN', 'Global Cycling Network', 'Sports', 'Cycling', 'Bike', 'Bikes', 'Bicycle (Product Category)', 'Road Bike', 'Cyclist', 'training', 'cycling training', 'training session', 'pro training', 'how pros train', 'pro cyclist training', 'training plan', 'workout', 'cycling workout', 'intesnsity', 'base training', 'endurance', 'train like a pro', 'pro training session', 'GCN Cycling', 'Cycling tips', 'velo', 'chris opie', 'sec-feature', 'pltr', 'gc21s', 'b1', 'gc11shs', 'gc04s1', 'c3', 'r1', 'p1', 'd2', '?', '?', '?', '?', '?', '?', '3349']",Thursday,4-6,4,4.18,5
